result_label,launch_speed,launch_angle,spray_angle,hit_distance_sc,bb_type,events,park_id,home_team,game_pk,hc_x,hc_y,game_date,label
OUT,92.4,-13,-39.406279926408544,13,ground_ball,field_out,3313,NYY,775296,91.48,156.96,2024-10-30,0
OUT,102.7,0,-30.653213342567618,42,ground_ball,field_out,3313,NYY,775296,103.48,161.25,2024-10-30,0
OUT,103.3,23,31.13141830335593,305,fly_ball,field_out,3313,NYY,775296,189.05,92.92,2024-10-30,0
SINGLE,99.3,1,-23.832405076636253,53,ground_ball,single,3313,NYY,775296,84.22,105.0,2024-10-30,1
OUT,94.5,58,47.35288410898409,202,fly_ball,field_out,3313,NYY,775296,184.71,143.66,2024-10-30,0
DOUBLE,100.1,12,-46.14457910629728,174,line_drive,double,3313,NYY,775296,36.59,112.92,2024-10-30,2
OUT,65.6,-2,32.88856185026611,30,ground_ball,field_out,3313,NYY,775296,150.29,159.81,2024-10-30,0
OUT,97.9,35,-1.8969065440405466,364,fly_ball,sac_fly,3313,NYY,775296,120.57,51.83,2024-10-30,0
OUT,95.6,29,-11.31476185528938,348,fly_ball,sac_fly,3313,NYY,775296,98.03,61.38,2024-10-30,0
SINGLE,67.2,2,-22.31222488496386,47,ground_ball,single,3313,NYY,775296,103.99,146.05,2024-10-30,1
SINGLE,108.2,13,-31.36248858514056,247,line_drive,single,3313,NYY,775296,62.83,95.58,2024-10-30,1
OUT,74.4,7,-38.80417598877446,76,ground_ball,field_out,3313,NYY,775296,100.95,167.84,2024-10-30,0
OUT,78.8,-22,-1.2328323816853701,7,ground_ball,field_out,3313,NYY,775296,124.8,169.46,2024-10-30,0
OUT,79.1,7,5.8669882007274206,102,ground_ball,field_out,3313,NYY,775296,132.09,133.36,2024-10-30,0
OUT,88.7,0,22.06282214990265,36,ground_ball,field_out,3313,NYY,775296,144.53,151.12,2024-10-30,0
OUT,101.9,32,-10.657806170260033,369,fly_ball,sac_fly,3313,NYY,775296,97.95,52.3,2024-10-30,0
OUT,82.8,-24,24.772312962876885,7,ground_ball,force_out,3313,NYY,775296,149.14,146.87,2024-10-30,0
OUT,79.5,46,7.830367297945109,250,fly_ball,field_out,3313,NYY,775296,138.9,100.25,2024-10-30,0
OUT,97.3,22,-22.855451231263284,327,line_drive,field_out,3313,NYY,775296,74.41,77.25,2024-10-30,0
OUT,91.9,39,41.23664383622181,310,fly_ball,field_out,3313,NYY,775296,208.08,103.97,2024-10-30,0
SINGLE,91.5,8,22.03758715953723,166,line_drive,single,3313,NYY,775296,163.79,103.48,2024-10-30,1
OUT,88.1,20,9.206996495819546,304,line_drive,field_out,3313,NYY,775296,144.84,78.46,2024-10-30,0
OUT,90.8,-19,-2.7349126721952137,10,ground_ball,field_out,3313,NYY,775296,122.85,144.47,2024-10-30,0
OUT,93.7,-18,-8.22295300493511,11,ground_ball,force_out,3313,NYY,775296,118.68,151.63,2024-10-30,0
DOUBLE,101.5,25,-7.684148284649864,402,fly_ball,double,3313,NYY,775296,103.7,37.29,2024-10-30,2
SINGLE,78.8,18,9.784320810826625,198,line_drive,single,3313,NYY,775296,140.98,108.04,2024-10-30,1
SINGLE,49.8,-12,43.44348197413061,10,ground_ball,single,3313,NYY,775296,156.03,165.95,2024-10-30,1
OUT,74.6,-2,-21.8459994589483,27,ground_ball,fielders_choice,3313,NYY,775296,108.55,156.19,2024-10-30,0
OUT,91.8,18,-2.4073539208088923,288,line_drive,field_error,3313,NYY,775296,120.6,83.62,2024-10-30,0
SINGLE,92.5,11,15.648971006991271,205,line_drive,single,3313,NYY,775296,157.29,84.5,2024-10-30,1
OUT,100.9,44,-30.455656942216716,342,fly_ball,field_out,3313,NYY,775296,55.43,79.24,2024-10-30,0
