result_label,launch_speed,launch_angle,spray_angle,hit_distance_sc,bb_type,events,park_id,home_team,game_pk,hc_x,hc_y,game_date,label
OUT,79.0,68,-69.62866623054134,157,popup,field_out,2602,CIN,776928,85.94,183.61,2025-07-31,0
OUT,85.1,-2,27.71188054875469,25,ground_ball,field_out,2602,CIN,776928,147.76,155.74,2025-07-31,0
OUT,88.9,25,31.032818635741606,295,line_drive,sac_fly,2602,CIN,776928,186.3,97.08,2025-07-31,0
OUT,102.7,41,5.75042721063077,345,fly_ball,field_out,2602,CIN,776928,139.33,60.14,2025-07-31,0
OUT,99.3,17,19.33555449309067,317,line_drive,field_out,2602,CIN,776928,167.52,78.29,2025-07-31,0
OUT,95.1,49,15.225976085138953,273,fly_ball,field_out,2602,CIN,776928,153.95,93.45,2025-07-31,0
OUT,86.8,1,-27.277461981499876,51,ground_ball,field_out,2602,CIN,776928,109.76,167.9,2025-07-31,0
OUT,87.4,-11,-10.913955188080683,14,ground_ball,field_out,2602,CIN,776928,116.34,151.18,2025-07-31,0
OUT,81.4,29,32.44384347215557,262,line_drive,field_out,2602,CIN,776928,181.45,110.13,2025-07-31,0
OUT,65.4,-50,-31.852152159507522,1,ground_ball,field_out,2602,CIN,776928,120.4,190.19,2025-07-31,0
OUT,90.1,30,-2.705518633904847,350,fly_ball,field_out,2602,CIN,776928,118.8,58.18,2025-07-31,0
HR,104.0,22,-26.17148181073682,376,fly_ball,home_run,2602,CIN,776928,58.8,62.71,2025-07-31,4
SINGLE,87.5,-25,-44.80193001820603,7,ground_ball,single,2602,CIN,776928,50.47,122.8,2025-07-31,1
SINGLE,106.2,-7,-7.030992442770721,18,ground_ball,single,2602,CIN,776928,113.3,100.0,2025-07-31,1
SINGLE,100.1,-9,-21.31281227804036,12,ground_ball,single,2602,CIN,776928,92.02,112.66,2025-07-31,1
SINGLE,69.6,22,44.12032341019219,183,line_drive,single,2602,CIN,776928,185.7,136.11,2025-07-31,1
HR,101.3,22,-43.283867292153516,369,line_drive,home_run,2602,CIN,776928,23.11,89.64,2025-07-31,4
SINGLE,99.5,10,-7.802139253101655,222,line_drive,single,2602,CIN,776928,108.65,75.88,2025-07-31,1
SINGLE,98.6,14,-25.337058217721765,206,line_drive,single,2602,CIN,776928,81.93,106.42,2025-07-31,1
OUT,99.4,41,-15.595820865994076,350,fly_ball,field_out,2602,CIN,776928,87.59,62.74,2025-07-31,0
DOUBLE,86.8,21,-45.2492694675922,242,line_drive,double,2602,CIN,776928,38.85,112.45,2025-07-31,2
SINGLE,100.9,19,42.46862658609374,265,line_drive,single,2602,CIN,776928,209.52,106.39,2025-07-31,1
SINGLE,69.6,29,15.883853733921079,230,fly_ball,single,2602,CIN,776928,152.02,104.79,2025-07-31,1
OUT,90.6,-9,2.70991198970951,11,ground_ball,fielders_choice,2602,CIN,776928,125.97,186.65,2025-07-31,0
DOUBLE,100.5,7,-12.673836802159322,129,ground_ball,double,2602,CIN,776928,100.13,85.81,2025-07-31,2
SINGLE,104.5,-2,-24.603546053461205,35,ground_ball,single,2602,CIN,776928,92.02,125.33,2025-07-31,1
SINGLE,42.5,-76,75.81854084312012,1,ground_ball,single,2602,CIN,776928,133.77,196.16,2025-07-31,1
SINGLE,63.8,-63,-41.507241613536664,1,ground_ball,single,2602,CIN,776928,110.19,181.06,2025-07-31,1
SINGLE,97.1,13,-15.905002373877979,243,line_drive,single,2602,CIN,776928,90.18,74.6,2025-07-31,1
OUT,77.8,58,36.514697540891255,183,popup,field_out,2602,CIN,776928,168.42,140.19,2025-07-31,0
SINGLE,98.2,16,19.53869181854173,246,line_drive,single,2602,CIN,776928,156.88,109.62,2025-07-31,1
OUT,91.2,45,11.760636485638805,305,fly_ball,field_out,2602,CIN,776928,150.32,78.67,2025-07-31,0
SINGLE,66.2,23,42.96348212881452,166,line_drive,single,2602,CIN,776928,176.41,143.52,2025-07-31,1
OUT,82.8,24,3.4436353450601844,282,line_drive,field_out,2602,CIN,776928,132.15,86.43,2025-07-31,0
OUT,59.6,-38,-35.596270401266864,3,ground_ball,field_out,2602,CIN,776928,105.57,170.54,2025-07-31,0
OUT,67.5,-39,24.74507321146289,2,ground_ball,field_out,2602,CIN,776928,142.69,160.8,2025-07-31,0
