result_label,launch_speed,launch_angle,spray_angle,hit_distance_sc,bb_type,events,park_id,home_team,game_pk,hc_x,hc_y,game_date,label
OUT,91.3,33,-16.25745619024198,333,fly_ball,field_out,4705,ATL,777706,88.07,70.19,2025-05-31,0
OUT,71.4,-20,-20.856152612783482,6,ground_ball,field_out,4705,ATL,777706,109.35,156.09,2025-05-31,0
OUT,103.4,36,0.979194765441001,389,fly_ball,field_out,4705,ATL,777706,128.1,41.47,2025-05-31,0
OUT,100.8,4,21.0695851119264,87,ground_ball,field_out,4705,ATL,777706,138.33,164.76,2025-05-31,0
DOUBLE,102.3,20,-22.30458137681422,354,line_drive,double,4705,ATL,777706,71.41,66.61,2025-05-31,2
OUT,90.4,28,-35.48084168636124,301,fly_ball,field_out,4705,ATL,777706,55.36,99.98,2025-05-31,0
OUT,90.4,27,-23.947722673836246,342,fly_ball,field_out,4705,ATL,777706,69.45,72.25,2025-05-31,0
OUT,76.9,12,-10.503917946238369,146,line_drive,field_out,4705,ATL,777706,115.33,143.85,2025-05-31,0
OUT,90.5,0,24.005273898662598,34,ground_ball,field_out,4705,ATL,777706,146.44,151.07,2025-05-31,0
SINGLE,101.5,8,-24.316848699547442,183,line_drive,single,4705,ATL,777706,82.56,103.42,2025-05-31,1
OUT,90.4,-25,30.500470926670012,5,ground_ball,field_out,4705,ATL,777706,146.95,161.72,2025-05-31,0
SINGLE,80.5,16,-22.760782501699264,205,line_drive,single,4705,ATL,777706,84.4,100.5,2025-05-31,1
OUT,93.4,50,-43.79421478485238,282,fly_ball,field_out,4705,ATL,777706,47.05,116.53,2025-05-31,0
OUT,83.1,68,56.79516543849899,142,popup,field_out,4705,ATL,777706,175.84,165.27,2025-05-31,0
OUT,104.6,7,32.69607644594009,119,ground_ball,field_out,4705,ATL,777706,159.62,144.99,2025-05-31,0
SINGLE,91.4,-12,-4.419380628370124,6,ground_ball,single,4705,ATL,777706,118.05,102.91,2025-05-31,1
OUT,78.9,1,32.26516706736222,34,ground_ball,field_out,4705,ATL,777706,154.0,153.0,2025-05-31,0
SINGLE,68.0,20,38.47341045314754,171,line_drive,single,4705,ATL,777706,179.18,130.62,2025-05-31,1
SINGLE,92.3,16,8.299148395824925,225,line_drive,single,4705,ATL,777706,142.44,81.59,2025-05-31,1
OUT,96.1,38,-29.488072238267915,327,fly_ball,field_out,4705,ATL,777706,60.58,83.61,2025-05-31,0
HR,106.8,27,8.450286695771338,428,fly_ball,home_run,4705,ATL,777706,150.82,27.3,2025-05-31,4
OUT,80.8,47,20.466579056923358,252,fly_ball,field_out,4705,ATL,777706,160.54,104.17,2025-05-31,0
SINGLE,80.8,20,12.739879257070266,231,line_drive,single,4705,ATL,777706,148.47,96.32,2025-05-31,1
HR,98.2,28,-24.311125904466376,400,fly_ball,home_run,4705,ATL,777706,58.99,51.22,2025-05-31,4
SINGLE,103.9,3,-26.56505117707799,80,ground_ball,single,4705,ATL,777706,102.33,152.09,2025-05-31,1
SINGLE,111.4,14,37.878824108195,247,line_drive,single,4705,ATL,777706,205.76,94.99,2025-05-31,1
OUT,54.7,-73,18.222855420139588,1,ground_ball,field_out,4705,ATL,777706,127.29,192.59,2025-05-31,0
OUT,98.9,-25,23.42730004703333,5,ground_ball,field_out,4705,ATL,777706,145.43,152.09,2025-05-31,0
OUT,100.4,47,-2.0023759270095516,317,fly_ball,field_out,4705,ATL,777706,120.97,70.99,2025-05-31,0
SINGLE,102.3,8,2.6584089404703986,153,line_drive,single,4705,ATL,777706,130.26,94.03,2025-05-31,1
OUT,107.4,-7,-7.910883765718221,17,ground_ball,field_out,4705,ATL,777706,117.84,143.72,2025-05-31,0
OUT,100.5,44,44.987541687625544,320,fly_ball,field_out,4705,ATL,777706,217.38,106.27,2025-05-31,0
OUT,103.1,33,-1.0422027053213834,402,fly_ball,field_out,4705,ATL,777706,122.46,35.56,2025-05-31,0
OUT,101.3,-3,-20.76163583132789,26,ground_ball,field_out,4705,ATL,777706,106.92,149.47,2025-05-31,0
SINGLE,56.4,-48,35.01394600124359,3,ground_ball,single,4705,ATL,777706,140.16,177.23,2025-05-31,1
OUT,91.5,60,-51.80084951408094,247,fly_ball,field_out,4705,ATL,777706,50.62,139.41,2025-05-31,0
OUT,76.0,-43,49.83003306253321,2,ground_ball,field_out,4705,ATL,777706,159.11,169.83,2025-05-31,0
DOUBLE,104.3,21,-19.041917968169184,381,line_drive,double,4705,ATL,777706,75.36,53.23,2025-05-31,2
OUT,98.0,-9,-26.314663617765923,13,ground_ball,grounded_into_double_play,4705,ATL,777706,101.83,150.57,2025-05-31,0
SINGLE,93.5,14,32.486007822994985,218,line_drive,single,4705,ATL,777706,182.77,108.2,2025-05-31,1
SINGLE,92.0,0,-14.599215804279176,41,ground_ball,single,4705,ATL,777706,109.43,136.88,2025-05-31,1
OUT,104.2,-7,29.19611083954022,22,ground_ball,field_out,4705,ATL,777706,151.51,151.58,2025-05-31,0
OUT,69.9,-9,30.520107315468476,13,ground_ball,field_out,4705,ATL,777706,153.54,150.57,2025-05-31,0
SINGLE,88.3,13,14.009921904986102,194,line_drive,single,4169,MIA,777705,152.26,90.7,2025-05-31,1
