result_label,launch_speed,launch_angle,spray_angle,hit_distance_sc,bb_type,events,park_id,home_team,game_pk,hc_x,hc_y,game_date,label
OUT,91.4,74,-25.287200669473943,79,popup,field_out,2,BAL,778512,116.34,179.05,2025-03-31,0
SINGLE,100.0,15,-20.5540019154818,284,line_drive,single,2,BAL,778512,79.33,75.35,2025-03-31,1
OUT,68.1,6,44.584610461385886,63,ground_ball,field_out,2,BAL,778512,154.86,168.4,2025-03-31,0
OUT,89.0,9,-20.168842718190064,144,ground_ball,field_out,2,BAL,778512,106.61,147.06,2025-03-31,0
DOUBLE,101.3,20,-40.29242551025257,338,line_drive,double,2,BAL,778512,36.94,93.91,2025-03-31,2
OUT,68.5,18,30.521263599996963,166,line_drive,field_out,2,BAL,778512,155.87,146.62,2025-03-31,0
OUT,87.9,2,7.107804771107091,50,ground_ball,force_out,2,BAL,778512,131.04,153.2,2025-03-31,0
SINGLE,95.4,10,-31.05856233501429,175,line_drive,single,2,BAL,778512,77.83,119.25,2025-03-31,1
OUT,85.8,-25,-25.235935960170515,2,ground_ball,force_out,2,BAL,778512,108.24,161.82,2025-03-31,0
SINGLE,99.7,1,2.8627151994375377,75,ground_ball,single,2,BAL,778512,130.03,106.08,2025-03-31,1
SINGLE,81.2,12,-34.32164087619943,168,line_drive,single,2,BAL,778512,73.07,121.59,2025-03-31,1
SINGLE,93.5,-15,-19.517882306785,9,ground_ball,single,2,BAL,778512,111.78,159.79,2025-03-31,1
SINGLE,74.1,30,16.065028197133753,249,fly_ball,single,2,BAL,778512,154.73,96.49,2025-03-31,1
OUT,74.7,3,1.2475625675760387,45,ground_ball,field_out,2,BAL,778512,126.16,164.29,2025-03-31,0
OUT,90.7,-11,-17.390723888708354,12,ground_ball,field_out,2,BAL,778512,111.78,154.72,2025-03-31,0
OUT,90.9,54,41.82581756661457,247,fly_ball,field_out,2,BAL,778512,191.76,124.14,2025-03-31,0
OUT,90.8,23,27.460289636477103,307,line_drive,field_out,2,BAL,778512,182.44,88.55,2025-03-31,0
SINGLE,78.9,18,-45.787507235621106,190,line_drive,single,2,BAL,778512,54.25,129.03,2025-03-31,1
OUT,88.7,27,40.79779826282986,308,fly_ball,field_out,2,BAL,778512,206.63,104.18,2025-03-31,0
OUT,78.9,-23,39.20993111053467,3,ground_ball,field_out,2,BAL,778512,149.79,168.4,2025-03-31,0
OUT,78.2,63,-32.60100574291624,175,popup,field_out,2,BAL,778512,84.93,134.96,2025-03-31,0
OUT,68.3,17,14.073065943263762,167,line_drive,field_out,2,BAL,778512,141.02,136.04,2025-03-31,0
OUT,77.2,34,14.37181740809058,254,fly_ball,field_out,2,BAL,778512,150.5,100.39,2025-03-31,0
OUT,93.4,30,37.296952456343824,314,fly_ball,field_out,2,BAL,778512,202.49,97.09,2025-03-31,0
DOUBLE,106.3,18,17.07504179810536,336,line_drive,double,2,BAL,778512,169.2,55.74,2025-03-31,2
OUT,71.2,-18,-35.8123855401214,6,ground_ball,field_out,2,BAL,778512,105.7,170.94,2025-03-31,0
SINGLE,83.0,5,-34.74823644156143,83,ground_ball,single,2,BAL,778512,78.34,130.4,2025-03-31,1
OUT,88.3,50,-8.711261199047716,261,fly_ball,field_out,2,BAL,778512,109.73,95.87,2025-03-31,0
OUT,67.8,-19,2.0763930131245756,5,ground_ball,grounded_into_double_play,2,BAL,778512,125.97,183.1,2025-03-31,0
SINGLE,95.5,-6,-36.95428231888417,18,ground_ball,single,2,BAL,778512,78.07,135.33,2025-03-31,1
OUT,88.9,63,10.444307638946993,179,popup,field_out,2,BAL,778512,138.01,129.97,2025-03-31,0
OUT,100.0,-25,26.150250732618943,3,ground_ball,field_out,2,BAL,778512,155.64,136.72,2025-03-31,0
OUT,85.5,-22,-42.25061997787589,3,ground_ball,field_out,2,BAL,778512,105.2,176.01,2025-03-31,0
OUT,73.5,-60,-19.319717006786856,2,ground_ball,field_out,2,BAL,778512,119.39,181.07,2025-03-31,0
OUT,80.5,-19,-15.906243642712244,5,ground_ball,grounded_into_double_play,2,BAL,778512,113.3,155.74,2025-03-31,0
SINGLE,78.5,45,45.86399391601151,233,fly_ball,single,2,BAL,778512,192.73,132.96,2025-03-31,1
OUT,91.9,6,5.665531929537785,115,ground_ball,field_out,2,BAL,778512,131.79,134.06,2025-03-31,0
SINGLE,64.7,43,39.15569322741252,197,line_drive,single,2,BAL,778512,187.29,122.29,2025-03-31,1
SINGLE,70.9,21,-23.55944089689733,213,line_drive,single,2,BAL,778512,83.42,101.95,2025-03-31,1
OUT,91.0,-4,18.094848107444786,22,ground_ball,grounded_into_double_play,2,BAL,778512,139.65,154.72,2025-03-31,0
SINGLE,104.8,8,-11.729183486432914,157,ground_ball,single,2,BAL,778512,104.28,96.45,2025-03-31,1
TRIPLE,100.1,25,-18.100458633671565,370,fly_ball,triple,2,BAL,778512,79.14,56.68,2025-03-31,3
SINGLE,107.1,0,-25.797163183960603,62,ground_ball,single,2,BAL,778512,85.92,116.55,2025-03-31,1
DOUBLE,101.9,23,8.560934004822146,374,line_drive,double,2,BAL,778512,145.83,62.69,2025-03-31,2
SINGLE,99.3,23,-38.337360427508855,305,line_drive,single,2,BAL,778512,64.14,120.78,2025-03-31,1
SINGLE,97.2,1,-29.600324006859605,56,ground_ball,single,2,BAL,778512,83.41,124.32,2025-03-31,1
SINGLE,93.3,9,-29.696698787649215,148,line_drive,single,2,BAL,778512,83.77,125.24,2025-03-31,1
SINGLE,88.3,-1,-7.850259362152254,36,ground_ball,single,2,BAL,778512,112.29,103.04,2025-03-31,1
SINGLE,106.0,10,-19.690358288190385,222,line_drive,single,2,BAL,778512,81.7,76.1,2025-03-31,1
OUT,98.9,35,-30.80824244062107,356,fly_ball,field_out,2,BAL,778512,51.96,75.08,2025-03-31,0
OUT,66.3,38,-14.798906608371674,209,fly_ball,field_out,2602,CIN,778511,105.5,122.87,2025-03-31,0
SINGLE,104.9,0,-6.009306402581979,45,ground_ball,single,2602,CIN,778511,114.97,99.0,2025-03-31,1
HR,108.2,23,19.84259334737256,386,fly_ball,home_run,2602,CIN,778511,178.16,52.12,2025-03-31,4
DOUBLE,91.8,23,-45.03948214463981,280,line_drive,double,2602,CIN,778511,45.55,118.51,2025-03-31,2
OUT,99.6,4,-19.964113971170036,79,ground_ball,field_out,2602,CIN,778511,111.34,159.51,2025-03-31,0
OUT,68.1,35,25.243969981772377,232,fly_ball,field_out,2602,CIN,778511,164.88,114.58,2025-03-31,0
OUT,81.1,-14,-19.683327546441035,11,ground_ball,field_out,2602,CIN,778511,111.34,158.91,2025-03-31,0
OUT,87.7,7,21.157797185282973,103,ground_ball,field_out,2602,CIN,778511,141.59,156.49,2025-03-31,0
OUT,91.8,-4,-12.56311655505871,29,ground_ball,field_out,2602,CIN,778511,115.57,154.07,2025-03-31,0
OUT,84.1,46,20.77617285248039,250,fly_ball,field_out,2602,CIN,778511,160.54,105.7,2025-03-31,0
OUT,75.4,-16,-37.64911446827867,8,ground_ball,field_out,2602,CIN,778511,109.52,177.66,2025-03-31,0
SINGLE,105.5,16,-39.23032713928015,282,line_drive,single,2602,CIN,778511,41.7,95.73,2025-03-31,1
OUT,100.6,27,22.648541820630868,354,fly_ball,field_out,2602,CIN,778511,180.46,66.36,2025-03-31,0
HR,110.2,29,5.482164239060084,436,fly_ball,home_run,2602,CIN,778511,142.23,23.12,2025-03-31,4
OUT,86.8,35,11.650251696465386,303,fly_ball,field_out,2602,CIN,778511,149.89,79.59,2025-03-31,0
OUT,79.1,52,30.548495665756565,200,fly_ball,field_out,2602,CIN,778511,165.47,130.41,2025-03-31,0
SINGLE,74.0,22,0.9336853880125126,231,line_drive,single,2602,CIN,778511,127.06,97.64,2025-03-31,1
SINGLE,100.8,5,-27.200540517975092,100,ground_ball,single,2602,CIN,778511,86.53,122.6,2025-03-31,1
OUT,76.7,34,9.162882481931987,258,fly_ball,field_out,2602,CIN,778511,141.7,97.34,2025-03-31,0
DOUBLE,102.0,14,-38.33343517774144,275,line_drive,double,2602,CIN,778511,57.23,112.03,2025-03-31,2
SINGLE,81.6,11,25.287831811137007,152,line_drive,single,2602,CIN,778511,163.73,117.18,2025-03-31,1
SINGLE,75.0,15,42.336431763576094,173,line_drive,single,2602,CIN,778511,181.27,136.97,2025-03-31,1
SINGLE,66.3,15,26.44430155708364,135,ground_ball,single,2602,CIN,778511,159.44,129.87,2025-03-31,1
OUT,66.5,-22,19.96444687537481,8,ground_ball,field_error,2602,CIN,778511,137.96,163.75,2025-03-31,0
OUT,75.4,-7,-29.28785266655044,17,ground_ball,grounded_into_double_play,2602,CIN,778511,110.13,171.01,2025-03-31,0
OUT,89.5,8,20.995859274860386,110,ground_ball,field_out,2602,CIN,778511,140.99,157.7,2025-03-31,0
OUT,84.5,34,-17.663207534101353,300,fly_ball,field_out,2602,CIN,778511,89.16,84.4,2025-03-31,0
OUT,93.3,-17,-24.23298874299752,11,ground_ball,field_out,2602,CIN,778511,113.15,171.01,2025-03-31,0
OUT,85.6,-19,23.046625471541653,9,ground_ball,field_out,2602,CIN,778511,149.84,140.87,2025-03-31,0
OUT,99.0,25,-12.358019862365007,354,fly_ball,field_out,2602,CIN,778511,94.97,59.29,2025-03-31,0
OUT,103.1,41,-20.442128200306726,365,fly_ball,field_out,2602,CIN,778511,74.02,60.37,2025-03-31,0
OUT,80.5,66,-23.888354376892664,149,popup,field_out,2602,CIN,778511,102.54,146.61,2025-03-31,0
OUT,67.3,71,14.578941071095455,73,popup,field_out,2602,CIN,778511,132.51,171.01,2025-03-31,0
OUT,99.4,21,-22.903130424314764,344,line_drive,field_out,2602,CIN,778511,71.71,71.14,2025-03-31,0
OUT,94.0,2,-33.594148341850115,62,ground_ball,field_out,2602,CIN,778511,108.92,173.43,2025-03-31,0
OUT,76.9,-25,22.70781871905225,6,ground_ball,field_out,2602,CIN,778511,143.41,155.28,2025-03-31,0
OUT,74.7,74,-35.98518339155344,74,popup,field_out,2602,CIN,778511,111.34,178.88,2025-03-31,0
SINGLE,82.4,-9,30.788897117129196,13,ground_ball,single,2602,CIN,778511,169.43,124.41,2025-03-31,1
HR,107.2,26,4.886014034811408,418,fly_ball,home_run,2602,CIN,778511,139.76,30.52,2025-03-31,4
OUT,99.9,-12,17.12142456753388,9,ground_ball,field_out,2602,CIN,778511,137.36,159.51,2025-03-31,0
SINGLE,103.0,-12,24.96356178874379,9,ground_ball,single,2602,CIN,778511,164.59,114.13,2025-03-31,1
OUT,98.1,-23,18.478234470325177,5,ground_ball,field_out,2602,CIN,778511,137.36,162.54,2025-03-31,0
OUT,96.9,27,-17.791636765783004,351,fly_ball,field_out,2602,CIN,778511,82.39,64.18,2025-03-31,0
OUT,83.7,-29,-35.02020740140746,5,ground_ball,field_out,2602,CIN,778511,110.13,176.45,2025-03-31,0
DOUBLE,113.6,15,-46.8017565334431,296,line_drive,double,2602,CIN,778511,38.2,116.37,2025-03-31,2
OUT,109.3,3,20.043860588336514,74,ground_ball,field_out,2602,CIN,778511,139.78,158.91,2025-03-31,0
OUT,68.5,16,-8.216621644146457,159,line_drive,field_out,2602,CIN,778511,116.72,138.02,2025-03-31,0
OUT,98.1,-6,-16.82742829103475,13,ground_ball,field_out,2602,CIN,778511,113.15,157.7,2025-03-31,0
DOUBLE,106.2,13,11.342106134309647,278,line_drive,double,2602,CIN,778511,149.46,78.42,2025-03-31,2
SINGLE,103.2,5,-8.260297315599493,116,ground_ball,single,2602,CIN,778511,110.13,92.95,2025-03-31,1
HR,106.9,28,-21.058880919951083,397,fly_ball,home_run,2602,CIN,778511,68.01,49.17,2025-03-31,4
SINGLE,88.8,15,-9.265823618056118,238,line_drive,single,2602,CIN,778511,109.52,100.81,2025-03-31,1
OUT,95.5,22,-4.03006986000433,344,line_drive,field_out,2602,CIN,778511,115.71,60.45,2025-03-31,0
SINGLE,84.3,17,44.934035064548354,224,line_drive,single,4169,MIA,778509,207.84,115.66,2025-03-31,1
SINGLE,106.6,-3,2.401188125444536,29,ground_ball,single,4169,MIA,778509,130.14,85.71,2025-03-31,1
SINGLE,108.7,-3,-12.466551271048543,29,ground_ball,single,4169,MIA,778509,101.07,88.13,2025-03-31,1
