result_label,launch_speed,launch_angle,spray_angle,hit_distance_sc,bb_type
OUT,73.9,14,-7.923302688,175,line_drive
OUT,104.6,6,-22.50990236,132,ground_ball
OUT,87.7,-31,28.54619073,4,ground_ball
DOUBLE,92.9,25,-45.87411656,300,line_drive
OUT,90.7,5,10.15842354,90,ground_ball
OUT,102,33,-37.19734745,351,fly_ball
OUT,85.7,42,1.293831825,285,fly_ball
SINGLE,111.9,4,-20.97295523,171,ground_ball
OUT,102.1,-10,10.38957178,8,ground_ball
OUT,83.9,49,35.90261413,252,fly_ball
OUT,88.8,-22,42.83358316,4,ground_ball
OUT,66.2,-69,32.21213526,1,ground_ball
OUT,48.6,45,5.755857985,124,ground_ball
OUT,65.7,12,-44.74158007,117,line_drive
DOUBLE,98.8,22,-42.72165264,301,line_drive
SINGLE,106.7,3,31.5377538,86,ground_ball
OUT,96.7,-11,6.251736481,12,ground_ball
SINGLE,94.1,-10,31.34261542,12,ground_ball
OUT,95.1,47,16.92297652,314,fly_ball
OUT,81,-24,12.70700588,5,ground_ball
OUT,61.5,29,14.41158087,183,popup
OUT,96.5,6,-21.34756056,145,ground_ball
OUT,94.6,31,8.226674283,353,fly_ball
OUT,101.1,-13,39.19546882,8,ground_ball
OUT,99.4,22,-20.27003895,346,line_drive
SINGLE,82.2,4,-27.59164517,75,ground_ball
SINGLE,64.9,21,18.21322806,183,line_drive
OUT,104,15,-1.56237675,342,line_drive
OUT,75.9,-5,3.404030097,17,ground_ball
OUT,96,-18,40.63322966,8,ground_ball
SINGLE,85.7,-22,-40.60466241,7,ground_ball
OUT,78.8,-30,-26.34537967,5,ground_ball
OUT,67.7,53,-30.98920122,178,popup
DOUBLE,103.8,23,-12.18378569,389,fly_ball
SINGLE,86.1,17,29.22391261,259,line_drive
OUT,93.6,24,27.59883269,317,line_drive
OUT,83.8,23,32.61283263,256,line_drive
DOUBLE,107.6,16,16.31976693,376,line_drive
OUT,84.6,44,16.1023602,268,fly_ball
SINGLE,95.6,20,-39.37850314,266,line_drive
OUT,92.8,-37,-28.9696136,2,ground_ball
OUT,73.9,4,27.00485662,65,ground_ball
OUT,94.6,36,30.83423558,343,fly_ball
OUT,90.7,7,-1.042021294,144,ground_ball
OUT,91.6,29,-0.128095067,346,fly_ball
OUT,59.4,68,70.3287092,99,popup
SINGLE,100.1,6,-9.069996617,106,ground_ball
OUT,81.5,64,63.45476921,157,popup
OUT,80.5,-37,36.40618294,2,ground_ball
OUT,73.2,61,-21.18953786,155,popup
DOUBLE,97.9,21,46.55126861,296,line_drive
OUT,85,45,13.62363346,264,fly_ball
OUT,91.4,55,-15.44134877,212,fly_ball
SINGLE,57.3,-49,-25.88537817,2,ground_ball
OUT,102.7,16,-8.722059052,312,line_drive
OUT,91.9,38,33.0108363,336,fly_ball
DOUBLE,105.6,17,-13.0265556,388,line_drive
SINGLE,98.1,3,-9.000812566,72,ground_ball
SINGLE,65.4,21,-14.10427966,175,line_drive
SINGLE,101.9,12,37.07746925,189,line_drive
OUT,86.1,34,10.12435062,313,fly_ball
OUT,88,-21,-19.84669512,6,ground_ball
OUT,79.8,9,23.42326956,115,ground_ball
OUT,90.4,31,-29.41859254,310,fly_ball
SINGLE,100.6,1,10.94110632,49,ground_ball
OUT,98.4,37,-3.542556167,347,fly_ball
SINGLE,103.4,2,-6.41878673,69,ground_ball
OUT,76.3,31,-16.54083382,272,fly_ball
OUT,55.4,-34,32.43923704,4,ground_ball
OUT,87.7,-8,-37.54381796,13,ground_ball
OUT,82.7,33,41.17172668,300,fly_ball
OUT,97,64,-22.77664704,180,popup
SINGLE,104.4,8,-4.787158643,230,line_drive
OUT,89.7,-9,34.61461545,16,ground_ball
OUT,90.5,-3,-24.69765019,28,ground_ball
OUT,87.4,-42,-21.74905094,4,ground_ball
OUT,92.9,40,3.888469903,297,fly_ball
OUT,66.9,-11,11.69175984,11,ground_ball
DOUBLE,103.3,17,-8.268210307,338,line_drive
OUT,92.2,38,14.45301204,318,fly_ball
OUT,87.1,21,0.910889606,288,line_drive
OUT,98.4,29,-9.464323318,351,fly_ball
OUT,102.8,19,21.21698876,348,fly_ball
SINGLE,99.7,7,-19.32778438,162,line_drive
DOUBLE,105.8,17,11.00002579,343,line_drive
OUT,100.2,17,27.80970909,331,line_drive
SINGLE,95.1,5,31.35312167,132,ground_ball
OUT,102.4,19,-27.52153557,324,line_drive
SINGLE,92.1,7,-20.48701419,133,ground_ball
OUT,100.1,27,-34.52596994,364,fly_ball
OUT,98.5,-1,-42.45661181,39,ground_ball
OUT,76.5,-2,45.74251648,28,ground_ball
SINGLE,105.2,10,21.03967648,230,line_drive
DOUBLE,75.7,18,-44.72665425,197,line_drive
SINGLE,78.9,17,-43.48515103,170,line_drive
OUT,103.4,14,4.043192537,281,line_drive
OUT,90.7,59,1.469195009,191,popup
OUT,101,-8,-17.25043044,16,ground_ball
OUT,100.2,7,-38.9271059,108,ground_ball
SINGLE,82.2,4,27.79306038,69,ground_ball
OUT,74.2,5,40.23562509,59,ground_ball
HR,101.4,28,29.44537703,385,fly_ball
OUT,72.2,46,-22.7428828,218,fly_ball
SINGLE,105.3,9,-23.49549904,209,line_drive
OUT,94.7,18,35.52821461,264,line_drive
SINGLE,94.2,-3,15.34830095,23,ground_ball
OUT,98,48,-22.1970044,288,fly_ball
OUT,96.7,-3,9.164087173,20,ground_ball
OUT,79.1,-18,-12.76265134,8,ground_ball
OUT,90.9,-14,27.83692795,4,ground_ball
OUT,97.6,21,-34.95821178,308,line_drive
HR,99.5,28,-24.93096138,375,fly_ball
SINGLE,58.5,-61,-39.9890326,1,ground_ball
OUT,101,22,21.1674437,352,line_drive
OUT,76.2,34,11.16963738,266,fly_ball
OUT,109.1,-19,12.64948556,7,ground_ball
DOUBLE,99.1,30,-29.21771491,350,fly_ball
DOUBLE,91.8,26,-43.87880933,319,fly_ball
OUT,87.4,39,35.17086548,303,fly_ball
OUT,78.4,-26,-40.6910641,3,ground_ball
OUT,105.1,4,4.682842793,92,line_drive
OUT,78.1,68,68.24648332,135,popup
OUT,83.6,-16,-32.42290621,8,ground_ball
HR,101,42,-35.94018524,359,fly_ball
SINGLE,93.3,4,30.23755272,91,ground_ball
DOUBLE,100.5,11,-45.24435161,190,line_drive
OUT,89.1,51,-1.878159718,252,fly_ball
DOUBLE,101.7,27,-12.36704019,356,fly_ball
OUT,62.1,53,-21.6788069,159,popup
OUT,60.2,-60,23.25922095,1,ground_ball
OUT,67.5,51,4.480979714,183,popup
OUT,85.1,76,-57.73953909,85,popup
OUT,88.2,29,19.88552641,317,fly_ball
DOUBLE,107.1,25,37.74486981,371,fly_ball
OUT,95.4,12,-27.64645647,253,line_drive
OUT,51.4,-35,6.874592377,4,ground_ball
SINGLE,103.6,0,7.774946622,53,ground_ball
OUT,101.3,-6,-38.47272807,19,ground_ball
OUT,99.8,20,-8.54574764,331,line_drive
OUT,95.7,-24,11.0584433,4,ground_ball
OUT,83.4,67,-24.94390526,136,popup
SINGLE,68.2,33,41.65805614,200,fly_ball
OUT,99.9,3,30.58053852,59,ground_ball
SINGLE,93.8,14,20.9869365,236,line_drive
SINGLE,85,20,-8.150026063,265,line_drive
OUT,79.4,16,24.71848319,182,line_drive
OUT,107.3,42,36.01089298,315,fly_ball
DOUBLE,80.7,29,-43.84810445,294,line_drive
SINGLE,80.9,17,35.83965284,170,line_drive
OUT,97.2,35,-3.307362407,352,fly_ball
SINGLE,96.1,-9,-24.36380546,13,ground_ball
DOUBLE,103.2,21,-40.22781478,351,line_drive
OUT,70.1,-16,-33.00337338,10,ground_ball
