result_label,launch_speed,launch_angle,spray_angle,hit_distance_sc,bb_type,events,park_id,home_team,game_pk,hc_x,hc_y,game_date,label
OUT,73.9,14,-7.923302688187112,175,line_drive,field_out,4705,ATL,747116,116.13,131.52,2024-05-31,0
OUT,104.6,6,-22.509902360261563,132,ground_ball,field_out,4705,ATL,747116,102.71,143.47,2024-05-31,0
OUT,87.7,-31,28.546190731043374,4,ground_ball,field_out,4705,ATL,747116,153.3,147.02,2024-05-31,0
DOUBLE,92.9,25,-45.87411655966469,300,line_drive,double,4705,ATL,747116,38.25,113.72,2024-05-31,2
OUT,90.7,5,10.158423536887788,90,ground_ball,field_out,4705,ATL,747116,135.42,142.46,2024-05-31,0
OUT,102.0,33,-37.197347454362365,351,fly_ball,field_out,4705,ATL,747116,28.31,70.32,2024-05-31,0
OUT,85.7,42,1.2938318254432504,285,fly_ball,field_out,4705,ATL,747116,127.99,84.48,2024-05-31,0
SINGLE,111.9,4,-20.97295522558806,171,ground_ball,single,4705,ATL,747116,101.7,136.39,2024-05-31,1
OUT,102.1,-10,10.389571783793619,8,ground_ball,field_out,4705,ATL,747116,134.91,146.51,2024-05-31,0
OUT,83.9,49,35.90261412770502,252,fly_ball,field_out,4705,ATL,747116,184.82,116.22,2024-05-31,0
OUT,88.8,-22,42.83358315508103,4,ground_ball,field_out,4705,ATL,747116,167.26,153.14,2024-05-31,0
OUT,66.2,-69,32.21213525559257,1,ground_ball,field_out,4705,ATL,747116,131.84,188.08,2024-05-31,0
OUT,48.6,45,5.75585798507833,124,ground_ball,force_out,4705,ATL,747116,130.22,150.65,2024-05-31,0
OUT,65.7,12,-44.74158006637839,117,line_drive,field_out,4705,ATL,747116,94.52,167.09,2024-05-31,0
OUT,97.8,31,-13.941788371915665,,fly_ball,sac_fly,4705,ATL,747116,88.91,51.2,2024-05-31,0
DOUBLE,98.8,22,-42.72165263860671,301,line_drive,double,4705,ATL,747116,43.0,109.02,2024-05-31,2
SINGLE,106.7,3,31.537753800445916,86,ground_ball,single,4705,ATL,747116,178.34,112.04,2024-05-31,1
OUT,96.7,-11,6.2517364809496305,12,ground_ball,field_out,4705,ATL,747116,128.38,171.25,2024-05-31,0
OUT,96.8,36,-35.91277602577212,,fly_ball,field_out,4705,ATL,747116,42.41,83.65,2024-05-31,0
SINGLE,94.1,-10,31.342615420241405,12,ground_ball,single,4705,ATL,747116,147.68,161.72,2024-05-31,1
OUT,95.1,47,16.922976521353394,314,fly_ball,field_out,4705,ATL,747116,162.12,77.65,2024-05-31,0
OUT,81.0,-24,12.70700588218581,5,ground_ball,field_out,4705,ATL,747116,136.62,148.6,2024-05-31,0
OUT,61.5,29,14.411580871676115,183,popup,field_out,4705,ATL,747116,143.02,129.78,2024-05-31,0
OUT,96.5,6,-21.347560556854308,145,ground_ball,field_out,4705,ATL,747116,105.28,146.74,2024-05-31,0
OUT,94.6,31,8.22667428278884,353,fly_ball,field_out,4705,ATL,747116,145.71,57.93,2024-05-31,0
OUT,101.1,-13,39.195468818794076,8,ground_ball,field_out,4705,ATL,747116,156.88,159.69,2024-05-31,0
OUT,99.4,22,-20.270038947875072,346,line_drive,sac_fly,4705,ATL,747116,77.25,67.84,2024-05-31,0
SINGLE,82.2,4,-27.59164516933632,75,ground_ball,single,4705,ATL,747116,83.8,118.63,2024-05-31,1
SINGLE,64.9,21,18.2132280577467,183,line_drive,single,4705,ATL,747116,153.26,113.66,2024-05-31,1
OUT,104.0,15,-1.5623767498495944,342,line_drive,field_out,4705,ATL,747116,121.68,61.15,2024-05-31,0
OUT,75.9,-5,3.4040300968335306,17,ground_ball,field_out,4705,ATL,747116,128.77,141.95,2024-05-31,0
OUT,96.0,-18,40.63322966106074,8,ground_ball,force_out,4705,ATL,747116,153.3,165.78,2024-05-31,0
SINGLE,85.7,-22,-40.60466240962253,7,ground_ball,single,4705,ATL,747116,77.38,142.23,2024-05-31,1
OUT,78.8,-30,-26.34537966621973,5,ground_ball,force_out,4705,ATL,747116,107.82,162.73,2024-05-31,0
OUT,67.7,53,-30.989201216851885,178,popup,field_out,4705,ATL,747116,89.63,138.68,2024-05-31,0
DOUBLE,103.8,23,-12.183785694605508,389,fly_ball,double,4705,ATL,747116,94.21,53.72,2024-05-31,2
SINGLE,86.1,17,29.223912610550535,259,line_drive,single,4705,ATL,747116,175.97,107.91,2024-05-31,1
OUT,93.6,24,27.598832690152744,317,line_drive,field_out,4705,ATL,747116,184.56,85.14,2024-05-31,0
