result_label,launch_speed,launch_angle,spray_angle,hit_distance_sc,bb_type,events,park_id,home_team,game_pk,hc_x,hc_y,game_date,label
OUT,74.3,5,-32.88804618943058,79,ground_ball,grounded_into_double_play,15,AZ,747182,104.87,166.49,2024-06-30,0
DOUBLE,97.8,20,-47.514162710267826,292,line_drive,double,15,AZ,747182,26.28,107.47,2024-06-30,2
OUT,104.9,37,12.45908534983241,384,fly_ball,field_out,15,AZ,747182,158.88,46.83,2024-06-30,0
OUT,86.5,-11,35.923977099870044,9,ground_ball,field_out,15,AZ,747182,155.06,157.36,2024-06-30,0
SINGLE,101.1,-1,-23.262221425243094,43,ground_ball,single,15,AZ,747182,87.13,109.2,2024-06-30,1
SINGLE,98.9,-7,-27.51930349533174,21,ground_ball,single,15,AZ,747182,95.27,140.4,2024-06-30,1
DOUBLE,98.6,10,-5.320261666172971,209,ground_ball,double,15,AZ,747182,115.52,91.96,2024-06-30,2
OUT,25.5,-8,-0.4748160322426056,10,ground_ball,force_out,15,AZ,747182,125.39,194.65,2024-06-30,0
OUT,93.7,36,42.057922249042804,347,fly_ball,field_out,15,AZ,747182,219.83,93.63,2024-06-30,0
OUT,79.1,32,-10.080487561475394,284,fly_ball,field_out,15,AZ,747182,105.55,86.5,2024-06-30,0
DOUBLE,109.8,5,-13.65328815840916,123,ground_ball,double,15,AZ,747182,92.7,63.57,2024-06-30,2
OUT,83.4,51,45.6393255109391,245,fly_ball,field_out,15,AZ,747182,196.1,129.15,2024-06-30,0
OUT,67.4,58,56.827279579998454,152,popup,field_out,15,AZ,747182,176.07,165.16,2024-06-30,0
SINGLE,84.3,63,-28.698879715601265,187,fly_ball,single,15,AZ,747182,77.49,110.72,2024-06-30,1
SINGLE,104.9,1,31.779717731919963,56,ground_ball,single,15,AZ,747182,174.32,119.34,2024-06-30,1
OUT,94.9,0,-23.530092151250617,41,ground_ball,field_out,15,AZ,747182,108.93,160.4,2024-06-30,0
OUT,91.6,35,16.554383529633093,356,fly_ball,field_out,15,AZ,747182,166.33,60.64,2024-06-30,0
OUT,73.2,-45,7.919162271251163,2,ground_ball,field_out,15,AZ,747182,134.47,133.21,2024-06-30,0
OUT,64.2,-19,32.452273143616544,7,ground_ball,field_out,15,AZ,747182,152.84,155.15,2024-06-30,0
OUT,99.3,42,-5.083582618305435,349,fly_ball,field_out,15,AZ,747182,112.98,58.43,2024-06-30,0
OUT,95.3,-1,30.151395879766795,40,ground_ball,grounded_into_double_play,15,AZ,747182,149.48,156.85,2024-06-30,0
SINGLE,77.9,14,-0.11920461217964325,184,line_drive,single,15,AZ,747182,125.22,102.14,2024-06-30,1
HR,100.7,34,23.44661839792971,381,fly_ball,home_run,15,AZ,747182,186.49,57.46,2024-06-30,4
OUT,101.6,22,28.872389200333735,332,line_drive,field_out,15,AZ,747182,190.16,80.86,2024-06-30,0
OUT,77.1,39,-28.304528361487872,282,fly_ball,field_out,15,AZ,747182,71.77,98.65,2024-06-30,0
SINGLE,105.7,9,-24.1864539790488,193,line_drive,single,15,AZ,747182,79.02,94.96,2024-06-30,1
SINGLE,105.5,-3,5.14970974635848,39,ground_ball,single,15,AZ,747182,134.27,100.07,2024-06-30,1
OUT,93.8,24,-1.513944098112115,340,line_drive,field_out,15,AZ,747182,121.81,61.68,2024-06-30,0
OUT,68.6,-15,17.18829443029511,10,ground_ball,field_out,15,AZ,747182,138.95,154.53,2024-06-30,0
