result_label,launch_speed,launch_angle,spray_angle,hit_distance_sc,bb_type
OUT,77.1,-7,32.64392095,17,ground_ball
OUT,78,-27,-23.9561675,3,ground_ball
OUT,83.5,6,-24.22726587,106,ground_ball
HR,112.9,30,-29.58294088,443,fly_ball
OUT,81.6,-7,27.14573176,20,ground_ball
DOUBLE,110.1,20,-21.61268935,381,line_drive
SINGLE,100.5,4,31.23320883,84,ground_ball
SINGLE,97.5,15,-11.02819502,246,line_drive
SINGLE,106.8,5,-25.15851777,96,ground_ball
DOUBLE,110,11,-40.46496461,225,line_drive
OUT,92.3,22,1.068533052,327,line_drive
OUT,106.5,-3,-6.934348901,34,ground_ball
OUT,91.5,40,12.96613827,320,fly_ball
OUT,91.4,27,-2.445221295,347,fly_ball
OUT,87.9,31,-9.944124375,322,fly_ball
OUT,89.5,32,12.95247613,337,fly_ball
DOUBLE,101.1,12,-41.90701264,198,line_drive
OUT,74.9,-21,11.53598989,2,ground_ball
SINGLE,110.9,4,-4.039667988,149,ground_ball
OUT,82.4,0,-40.53375545,35,ground_ball
SINGLE,76.9,19,-8.243280166,224,line_drive
SINGLE,107.2,-9,-24.60554216,17,ground_ball
OUT,73.8,62,-39.59867771,167,fly_ball
OUT,81.6,-26,-19.6019658,4,ground_ball
OUT,62.9,-73,29.30462611,1,ground_ball
SINGLE,101.3,12,1.214093015,236,line_drive
SINGLE,106.5,-2,24.14327501,36,ground_ball
OUT,83.7,50,5.243226859,244,fly_ball
SINGLE,72.9,-1,-32.25972753,41,ground_ball
OUT,93.5,9,-17.1283972,155,line_drive
OUT,82.5,33,8.930456211,302,fly_ball
OUT,100.1,-9,-29.66439562,16,ground_ball
OUT,93.1,48,8.384735763,282,fly_ball
OUT,95.4,42,-3.79068409,321,fly_ball
OUT,91.5,58,45.54275582,213,fly_ball
OUT,93.5,-30,-38.05782651,4,ground_ball
SINGLE,108.8,10,-33.44009093,250,line_drive
OUT,99.6,-8,-47.16061491,15,ground_ball
OUT,75.3,-16,-32.25972753,6,ground_ball
OUT,86.6,55,44.89719935,226,fly_ball
SINGLE,88.3,-3,-12.57531038,23,ground_ball
OUT,93.2,54,24.23715045,245,fly_ball
OUT,85.7,43,29.77166638,284,fly_ball
HR,100.7,29,-39.80693266,399,fly_ball
OUT,88.6,53,-5.209496317,236,fly_ball
OUT,97.1,-21,-6.684965251,6,ground_ball
OUT,74.6,-24,-37.60224425,3,ground_ball
OUT,90,-25,28.32116001,3,ground_ball
SINGLE,64.6,-58,-34.55763813,2,ground_ball
HR,106.9,23,-44.64366983,352,line_drive
OUT,84.8,-4,37.93773913,18,ground_ball
OUT,98.8,0,12.4722741,51,ground_ball
OUT,44.3,-75,8.071257,0,ground_ball
OUT,93.9,69,26.1839834,124,popup
OUT,68.4,62,56.76244308,142,popup
OUT,63.8,-24,-6.413593192,4,ground_ball
SINGLE,85.3,-18,-27.17069225,7,ground_ball
OUT,90.5,71,-35.29856125,142,popup
OUT,79.1,59,-42.25268634,191,fly_ball
OUT,78.1,40,44.92322693,261,fly_ball
SINGLE,77.1,20,-33.67437263,229,line_drive
OUT,98.5,-9,-23.59903343,15,ground_ball
HR,99.7,31,34.68160756,390,fly_ball
SINGLE,77.4,-14,11.31753643,5,ground_ball
DOUBLE,99.7,29,22.50963707,383,fly_ball
OUT,99.3,16,-2.929185132,306,line_drive
OUT,100.4,15,4.382901803,306,line_drive
OUT,86.4,80,-61.87513635,15,popup
SINGLE,39.9,27,-55.6307139,87,ground_ball
DOUBLE,100,31,-14.12047094,376,fly_ball
OUT,96.3,-10,-7.053380381,15,ground_ball
OUT,93,9,-42.40112431,153,line_drive
SINGLE,93.5,-20,27.57101711,5,ground_ball
OUT,91.8,41,44.31976256,281,fly_ball
OUT,102.2,-11,14.69765977,10,ground_ball
OUT,107.4,-7,-29.12989076,19,ground_ball
OUT,66,-47,40.6299748,2,ground_ball
OUT,65.6,-28,23.48851562,5,ground_ball
OUT,74.3,-19,24.3275264,7,ground_ball
OUT,81,61,37.22198059,160,popup
OUT,104.9,-5,-17.74659122,25,ground_ball
SINGLE,101.4,3,-23.73073415,78,ground_ball
SINGLE,76.3,-12,-51.54213505,11,ground_ball
OUT,83.4,33,-41.30470048,266,fly_ball
SINGLE,88.6,7,-6.750842125,119,ground_ball
OUT,75.4,3,-7.800627034,56,ground_ball
SINGLE,98.6,20,-36.39248105,319,line_drive
OUT,84.2,-9,30.67773303,16,ground_ball
OUT,87.1,58,9.428356218,198,popup
SINGLE,101.2,3,-15.11956071,76,ground_ball
OUT,92.3,41,-17.44964286,316,fly_ball
OUT,45.4,29,-10.27644108,110,ground_ball
SINGLE,102.8,6,28.65536703,106,line_drive
OUT,70.1,-39,-13.3966157,3,ground_ball
SINGLE,57.2,-60,-58.24936595,1,ground_ball
OUT,102,57,31.51516889,228,fly_ball
OUT,69.2,65,41.67287346,116,popup
DOUBLE,100.6,23,-11.43605651,376,line_drive
SINGLE,102.6,8,-12.06126814,219,line_drive
OUT,78.4,-17,33.7363431,7,ground_ball
OUT,96.4,-7,-13.67158519,17,ground_ball
OUT,67.7,-50,48.00152433,2,ground_ball
SINGLE,91.3,16,0.060625086,249,line_drive
OUT,95.5,59,13.68464148,197,popup
OUT,103.3,42,1.192731551,352,fly_ball
OUT,97.9,-16,22.96663533,9,ground_ball
SINGLE,95.1,8,18.88059521,143,line_drive
SINGLE,88.5,21,5.017930933,260,line_drive
OUT,47.9,49,9.61023218,100,popup
OUT,84.6,-13,36.20945682,12,ground_ball
OUT,95,30,16.9346493,332,fly_ball
OUT,88,-1,68.34861185,38,ground_ball
OUT,91.2,-22,-22.01351603,8,ground_ball
OUT,93.5,45,-39.04516306,271,fly_ball
OUT,75.8,56,2.037587172,182,popup
OUT,82.3,10,34.65786931,133,ground_ball
OUT,90,42,38.61900917,287,fly_ball
OUT,83.6,66,45.90938045,112,popup
SINGLE,93.7,-2,0.26740383,36,ground_ball
TRIPLE,100.7,10,42.40262837,204,line_drive
SINGLE,95.3,20,-10.23993801,307,line_drive
OUT,82.4,65,-15.52540481,137,popup
OUT,84,49,45.4990717,224,fly_ball
OUT,98.3,7,-22.92840057,145,ground_ball
SINGLE,70.5,35,9.82821737,229,fly_ball
OUT,88.3,1,-35.29076604,54,ground_ball
OUT,98.4,-26,18.14370397,4,ground_ball
OUT,77.4,1,33.96916116,44,ground_ball
OUT,93.2,36,-21.10965197,324,fly_ball
