result_label,launch_speed,launch_angle,spray_angle,hit_distance_sc,bb_type,events,park_id,home_team,game_pk,hc_x,hc_y,game_date,label
OUT,93.2,27,7.055601456319047,355,fly_ball,field_out,15,AZ,747158,142.9,57.04,2024-08-31,0
OUT,105.6,1,-18.781236232412805,53,ground_ball,field_out,15,AZ,747158,104.7,137.34,2024-08-31,0
OUT,83.4,52,-47.47761948679691,236,fly_ball,field_out,15,AZ,747158,55.86,134.48,2024-08-31,0
OUT,113.5,13,31.553209252816263,281,line_drive,field_out,15,AZ,747158,184.39,102.24,2024-08-31,0
SINGLE,66.9,23,23.520790851038715,210,line_drive,single,15,AZ,747158,163.16,111.56,2024-08-31,1
OUT,85.4,9,13.752150016061158,154,line_drive,field_out,15,AZ,747158,139.49,140.78,2024-08-31,0
SINGLE,94.4,7,4.890460806054565,143,ground_ball,single,15,AZ,747158,134.28,94.72,2024-08-31,1
SINGLE,86.6,16,29.03430435155939,230,line_drive,single,15,AZ,747158,177.31,104.79,2024-08-31,1
OUT,92.5,29,18.963705724028046,369,fly_ball,field_out,15,AZ,747158,173.86,57.3,2024-08-31,0
OUT,92.6,20,-6.525325465041704,289,line_drive,field_out,15,AZ,747158,112.37,84.18,2024-08-31,0
OUT,102.6,50,42.57673049702968,285,fly_ball,field_out,15,AZ,747158,203.38,113.42,2024-08-31,0
SINGLE,107.8,13,4.940831519751803,266,line_drive,single,15,AZ,747158,134.81,89.65,2024-08-31,1
SINGLE,104.8,6,-27.857978438115108,137,ground_ball,single,15,AZ,747158,76.89,106.45,2024-08-31,1
OUT,93.8,26,37.671950978454,352,fly_ball,sac_fly,15,AZ,747158,213.0,84.84,2024-08-31,0
OUT,74.2,30,-26.334919385785355,262,fly_ball,field_out,15,AZ,747158,78.99,104.47,2024-08-31,0
DOUBLE,102.4,20,16.487969852282806,369,line_drive,double,15,AZ,747158,171.57,42.35,2024-08-31,2
OUT,100.8,26,-34.42324796756582,347,fly_ball,field_out,15,AZ,747158,46.39,82.95,2024-08-31,0
OUT,91.0,-21,-46.132255470982365,6,ground_ball,field_out,15,AZ,747158,94.72,168.76,2024-08-31,0
