result_label,launch_speed,launch_angle,spray_angle,hit_distance_sc,bb_type,events,park_id,home_team,game_pk,hc_x,hc_y,game_date,label
OUT,81.4,31,4.981947932932257,296,fly_ball,field_out,2681,PHI,776522,135.66,80.8,2025-08-31,0
HR,100.8,28,-31.239865838531916,368,fly_ball,home_run,2681,PHI,776522,48.64,71.69,2025-08-31,4
SINGLE,52.4,-12,-5.246344344486257,11,ground_ball,single,2681,PHI,776522,121.4,154.49,2025-08-31,1
OUT,87.1,38,14.279909952651549,298,fly_ball,field_out,2681,PHI,776522,154.82,82.76,2025-08-31,0
OUT,85.9,34,-18.443440860730448,320,fly_ball,field_out,2681,PHI,776522,84.92,76.83,2025-08-31,0
OUT,104.6,-11,-2.5149686447588477,10,ground_ball,force_out,2681,PHI,776522,122.67,135.66,2025-08-31,0
OUT,92.4,-45,39.971368658597314,2,ground_ball,field_out,2681,PHI,776522,153.56,164.7,2025-08-31,0
SINGLE,76.0,-8,-18.486675362747647,14,ground_ball,single,2681,PHI,776522,108.76,148.44,2025-08-31,1
OUT,97.5,23,19.92534419346633,352,line_drive,field_out,2681,PHI,776522,173.94,64.42,2025-08-31,0
TRIPLE,110.9,20,-7.569668802824809,387,line_drive,triple,2681,PHI,776522,104.85,43.48,2025-08-31,3
OUT,103.5,19,38.469148881519146,319,line_drive,field_out,2681,PHI,776522,205.71,97.22,2025-08-31,0
OUT,86.1,21,-20.009726433091654,267,line_drive,field_out,2681,PHI,776522,92.7,108.42,2025-08-31,0
OUT,51.0,17,-12.957686325850268,100,ground_ball,field_out,2681,PHI,776522,114.99,152.94,2025-08-31,0
SINGLE,95.0,13,18.08053972448483,205,line_drive,single,2681,PHI,776522,159.85,92.81,2025-08-31,1
SINGLE,95.7,11,-45.62202996630799,217,line_drive,single,2681,PHI,776522,43.02,117.64,2025-08-31,1
OUT,65.0,19,-19.828197836181893,110,ground_ball,field_out,2681,PHI,776522,111.7,160.22,2025-08-31,0
OUT,57.3,-7,-50.63249126993206,14,ground_ball,field_out,2681,PHI,776522,96.29,174.37,2025-08-31,0
OUT,41.2,-53,22.00892142682551,2,ground_ball,field_out,2681,PHI,776522,130.8,184.96,2025-08-31,0
OUT,72.7,-48,22.126035720905943,2,ground_ball,field_out,2681,PHI,776522,140.11,162.14,2025-08-31,0
OUT,81.6,42,4.388889976392169,259,fly_ball,field_out,2681,PHI,776522,133.3,95.6,2025-08-31,0
OUT,74.8,-10,-26.813058337544756,9,ground_ball,force_out,2681,PHI,776522,105.38,158.62,2025-08-31,0
SINGLE,81.5,19,18.614291644737463,220,line_drive,single,2681,PHI,776522,157.99,101.57,2025-08-31,1
SINGLE,109.9,2,29.493762795869713,80,ground_ball,single,2681,PHI,776522,177.39,106.39,2025-08-31,1
OUT,74.9,-36,-47.625502222172216,3,ground_ball,field_out,2681,PHI,776522,101.13,176.11,2025-08-31,0
HR,98.5,37,27.797340906805026,372,fly_ball,home_run,2681,PHI,776522,195.34,65.64,2025-08-31,4
OUT,100.6,-5,-39.098835502174,21,ground_ball,field_out,2681,PHI,776522,90.2,154.93,2025-08-31,0
OUT,71.0,0,8.559352749655554,38,ground_ball,field_out,2681,PHI,776522,127.19,186.51,2025-08-31,0
OUT,95.7,26,-0.4946673912434978,360,fly_ball,field_out,2681,PHI,776522,124.17,53.49,2025-08-31,0
OUT,94.2,4,-3.261471399889243,83,ground_ball,force_out,2681,PHI,776522,122.12,140.36,2025-08-31,0
SINGLE,86.4,12,9.549232357588378,197,line_drive,single,2681,PHI,776522,143.22,92.46,2025-08-31,1
SINGLE,59.9,-53,45.75812296782793,2,ground_ball,single,2681,PHI,776522,141.5,182.61,2025-08-31,1
OUT,86.5,-11,-23.135780567205238,10,ground_ball,field_out,2681,PHI,776522,102.83,145.4,2025-08-31,0
OUT,81.5,69,69.81793453306224,146,popup,field_out,2681,PHI,776522,185.0,176.37,2025-08-31,0
OUT,88.8,19,6.733187012686216,298,line_drive,field_out,2681,PHI,776522,139.37,80.11,2025-08-31,0
OUT,85.2,-19,-22.624248794663448,3,ground_ball,field_out,2681,PHI,776522,109.95,161.15,2025-08-31,0
OUT,95.1,39,34.96855318662875,327,fly_ball,field_out,2681,PHI,776522,201.08,90.09,2025-08-31,0
OUT,96.9,-5,-9.984079750407526,22,ground_ball,field_out,2681,PHI,776522,116.03,144.93,2025-08-31,0
OUT,84.9,68,45.88600160940424,163,popup,field_out,2681,PHI,776522,179.92,145.43,2025-08-31,0
OUT,99.4,-15,20.858190474524733,8,ground_ball,field_out,2681,PHI,776522,147.31,140.82,2025-08-31,0
