result_label,launch_speed,launch_angle,spray_angle,hit_distance_sc,bb_type
OUT,92.4,-13,-39.40627993,13,ground_ball
OUT,102.7,0,-30.65321334,42,ground_ball
OUT,103.3,23,31.1314183,305,fly_ball
SINGLE,99.3,1,-23.83240508,53,ground_ball
OUT,94.5,58,47.35288411,202,fly_ball
DOUBLE,100.1,12,-46.14457911,174,line_drive
OUT,65.6,-2,32.88856185,30,ground_ball
OUT,97.9,35,-1.896906544,364,fly_ball
OUT,95.6,29,-11.31476186,348,fly_ball
SINGLE,67.2,2,-22.31222488,47,ground_ball
SINGLE,108.2,13,-31.36248859,247,line_drive
OUT,74.4,7,-38.80417599,76,ground_ball
OUT,78.8,-22,-1.232832382,7,ground_ball
OUT,79.1,7,5.866988201,102,ground_ball
OUT,88.7,0,22.06282215,36,ground_ball
OUT,101.9,32,-10.65780617,369,fly_ball
OUT,82.8,-24,24.77231296,7,ground_ball
OUT,79.5,46,7.830367298,250,fly_ball
OUT,97.3,22,-22.85545123,327,line_drive
OUT,91.9,39,41.23664384,310,fly_ball
SINGLE,91.5,8,22.03758716,166,line_drive
OUT,88.1,20,9.206996496,304,line_drive
OUT,90.8,-19,-2.734912672,10,ground_ball
OUT,93.7,-18,-8.222953005,11,ground_ball
DOUBLE,101.5,25,-7.684148285,402,fly_ball
SINGLE,78.8,18,9.784320811,198,line_drive
SINGLE,49.8,-12,43.44348197,10,ground_ball
OUT,91.8,18,-2.407353921,288,line_drive
SINGLE,92.5,11,15.64897101,205,line_drive
OUT,100.9,44,-30.45565694,342,fly_ball
SINGLE,107.7,-2,30.41096915,37,ground_ball
OUT,97.2,73,-25.02058569,94,popup
OUT,98.2,24,8.091776474,318,line_drive
OUT,79.4,-42,-14.43996512,2,ground_ball
OUT,106.6,25,-14.11136192,403,fly_ball
OUT,85.3,36,23.82794005,283,fly_ball
OUT,106.3,16,19.16850729,313,line_drive
HR,105.4,27,32.81079742,385,fly_ball
OUT,88.2,29,-23.49279038,317,fly_ball
OUT,90.5,70,46.40224585,121,popup
OUT,69,-17,43.92217722,4,ground_ball
SINGLE,84.4,11,22.0632577,153,line_drive
OUT,84.3,1,45.76413816,37,ground_ball
DOUBLE,96.4,12,-46.51673473,180,line_drive
OUT,93.2,45,16.5825121,285,fly_ball
OUT,99.4,21,0.803178109,353,line_drive
HR,103.8,37,31.14399562,397,fly_ball
HR,108.9,28,24.7475976,403,fly_ball
OUT,96.1,-2,11.81614707,27,ground_ball
OUT,91.2,41,-29.84593195,314,fly_ball
OUT,42.9,-19,44.14295986,5,ground_ball
OUT,93.2,45,7.60547284,289,fly_ball
OUT,82.6,26,-5.57599604,285,line_drive
OUT,74.3,8,11.2580811,80,ground_ball
OUT,95.7,-14,-15.84342678,12,ground_ball
OUT,82.4,68,18.99796831,92,popup
OUT,89.6,47,-33.94376074,264,fly_ball
SINGLE,107.8,18,-36.3765945,281,line_drive
DOUBLE,96.6,11,46.12481862,178,line_drive
HR,103.5,26,26.63447953,366,fly_ball
DOUBLE,102,14,-34.86849198,241,line_drive
OUT,93,-21,47.11317797,5,ground_ball
OUT,95.5,51,2.689628675,273,fly_ball
OUT,117.3,13,-27.99369241,332,line_drive
OUT,99.6,56,-15.2309785,253,fly_ball
OUT,92.6,36,-1.10112724,333,fly_ball
OUT,98.8,26,10.19261537,367,fly_ball
OUT,94.8,30,-31.86466161,324,fly_ball
HR,107,31,37.20507633,384,fly_ball
OUT,64.7,-33,26.44151584,3,ground_ball
OUT,101.4,36,7.813415848,354,fly_ball
OUT,88.1,29,-8.089472088,314,fly_ball
OUT,84.8,6,-18.24520991,88,ground_ball
OUT,95.2,43,-17.01635743,309,fly_ball
OUT,71.6,1,29.51224968,40,ground_ball
OUT,79.5,-34,-10.99174371,3,ground_ball
SINGLE,103.8,14,-7.154130055,266,line_drive
HR,97.2,28,24.11667573,364,fly_ball
OUT,110,-6,21.07132425,19,ground_ball
OUT,106.9,3,10.8523632,83,ground_ball
SINGLE,96.6,12,41.12950129,197,line_drive
OUT,72.7,-1,25.16307281,25,ground_ball
OUT,87.2,8,-20.82472365,127,ground_ball
OUT,91.2,67,72.71521773,146,popup
OUT,93.2,43,-34.12435027,298,fly_ball
HR,107.6,19,-30.10888279,390,line_drive
OUT,72.2,63,-29.62111873,146,popup
SINGLE,109.5,20,26.13479853,348,line_drive
OUT,76.6,33,-24.31139554,255,fly_ball
OUT,89.2,3,24.24615049,71,ground_ball
OUT,102,30,-12.2922095,379,fly_ball
OUT,86.6,49,21.28440522,227,fly_ball
OUT,97.3,3,44.38294988,73,ground_ball
DOUBLE,105.2,27,7.3678013,405,line_drive
OUT,87.4,57,17.10577031,178,popup
DOUBLE,97.6,7,46.89095663,119,ground_ball
OUT,95.3,-19,0.41509599,5,ground_ball
OUT,93.5,-30,11.47816714,3,ground_ball
OUT,91.1,45,48.84976967,287,fly_ball
OUT,81.4,75,88.88453613,65,popup
SINGLE,61,-62,-34.617603,1,ground_ball
HR,106.6,23,39.44764388,343,line_drive
DOUBLE,99.7,-5,45.12342609,22,ground_ball
OUT,83.9,58,2.904005322,173,popup
OUT,90.9,-23,-5.414756232,5,ground_ball
HR,100.5,28,22.17145243,373,fly_ball
OUT,93.3,71,79.5474662,102,popup
OUT,77.3,6,-16.18169525,78,ground_ball
OUT,74.2,-49,-27.44154299,3,ground_ball
OUT,84.1,26,35.68040402,296,line_drive
OUT,93.4,62,38.10195341,175,popup
OUT,68.8,18,13.75185999,159,line_drive
SINGLE,95.4,19,12.6475335,287,line_drive
SINGLE,108.2,0,-9.006070362,42,ground_ball
OUT,83.4,-31,26.64887134,4,ground_ball
OUT,57.4,72,-70.13382733,70,popup
OUT,70.1,12,17.7776328,127,ground_ball
SINGLE,91.7,8,-2.179095215,134,ground_ball
OUT,62,2,12.19670676,44,ground_ball
OUT,94.7,-12,27.12842732,10,ground_ball
SINGLE,100.4,2,-2.927822461,67,ground_ball
OUT,99.1,10,-23.22504576,156,line_drive
OUT,102,18,16.63629859,332,line_drive
OUT,64.4,-62,-23.39303714,2,ground_ball
OUT,84,45,13.97135419,238,fly_ball
OUT,71.1,5,13.04176687,58,ground_ball
OUT,108.1,19,-7.433223714,372,line_drive
OUT,49.2,-34,-21.60417867,4,ground_ball
SINGLE,92.3,17,-29.23587171,240,line_drive
OUT,100.7,17,20.53617051,279,line_drive
