result_label,launch_speed,launch_angle,spray_angle,hit_distance_sc,bb_type,is_theoretical_fair
SINGLE,104.0,15,11.906767578272666,280.0,line_drive,1
OUT,89.5,31,-14.187284604156476,326.0,fly_ball,1
TRIPLE,105.7,17,16.85281028774794,336.0,line_drive,1
SINGLE,101.5,10,-35.62928476765294,192.0,line_drive,1
HR,99.8,40,32.17851104264109,371.0,fly_ball,1
OUT,84.3,81,-28.581863014255102,37.0,popup,1
HR,103.0,34,24.681775373964697,425.0,fly_ball,1
OUT,93.2,59,-5.346333486657237,227.0,fly_ball,1
OUT,68.2,-29,40.84540282329027,4.0,ground_ball,1
OUT,62.4,53,-19.11517205178238,164.0,popup,1
TRIPLE,100.9,23,39.77428597611558,341.0,fly_ball,1
OUT,85.7,66,-29.06346442333543,157.0,popup,1
SINGLE,85.6,15,24.25776302906393,217.0,line_drive,1
OUT,92.3,44,-18.894789807960745,330.0,fly_ball,1
OUT,94.9,-13,32.19309101855141,8.0,ground_ball,1
DOUBLE,101.0,0,-49.48628615321766,52.0,ground_ball,0
OUT,81.1,-13,-33.009439794066054,13.0,ground_ball,1
DOUBLE,97.3,32,-4.356975005846295,372.0,fly_ball,1
OUT,98.6,-3,-16.936775505643034,28.0,ground_ball,1
OUT,75.5,-19,55.01164919715905,5.0,ground_ball,0
SINGLE,105.7,11,23.154594129880675,234.0,line_drive,1
SINGLE,102.1,-3,35.23051769750513,38.0,ground_ball,1
OUT,95.9,25,43.37563890058371,322.0,fly_ball,1
OUT,98.6,-8,49.75136782292977,13.0,ground_ball,0
OUT,92.7,84,-67.43722962211787,35.0,popup,0
OUT,55.2,-62,32.244073370052334,1.0,ground_ball,1
OUT,79.4,-35,-36.547265098625466,3.0,ground_ball,1
OUT,94.6,30,7.570764333689145,358.0,fly_ball,1
OUT,96.4,26,21.27771571928993,348.0,fly_ball,1
OUT,69.2,-16,-34.18472066167892,11.0,ground_ball,1
OUT,90.9,53,28.29436898869328,243.0,fly_ball,1
SINGLE,95.3,-4,33.57014503443762,20.0,ground_ball,1
OUT,83.1,68,-14.482053323521429,133.0,popup,1
OUT,98.9,23,39.37419566936752,332.0,fly_ball,1
SINGLE,103.8,-10,21.437308010432385,10.0,ground_ball,1
DOUBLE,89.4,16,43.09852462179479,184.0,line_drive,1
OUT,102.4,21,26.06286280814796,354.0,line_drive,1
OUT,106.2,39,20.733813469106728,373.0,fly_ball,1
SINGLE,65.7,45,47.130929140915455,199.0,fly_ball,0
OUT,86.3,25,-31.207734215563462,276.0,line_drive,1
OUT,86.1,43,-36.51632077414968,282.0,fly_ball,1
OUT,84.7,58,0.2543037401602411,191.0,popup,1
SINGLE,100.5,11,-24.496013279630027,199.0,line_drive,1
SINGLE,62.8,-12,21.69529363415604,7.0,ground_ball,1
OUT,63.7,53,-22.402782598569523,161.0,popup,1
HR,101.4,29,-8.506876718027296,407.0,fly_ball,1
OUT,91.3,0,22.326749030044216,37.0,ground_ball,1
OUT,93.5,39,17.22799282612784,353.0,fly_ball,1
OUT,90.0,-16,32.66558912648489,7.0,ground_ball,1
SINGLE,76.0,18,-36.171332327175605,212.0,line_drive,1
OUT,79.5,-9,9.842656970342912,8.0,ground_ball,1
DOUBLE,99.6,22,-17.700101457686376,341.0,line_drive,1
OUT,87.1,36,-2.527798547126499,325.0,fly_ball,1
SINGLE,86.4,8,-20.734493210521077,131.0,ground_ball,1
OUT,95.8,-17,49.311116330282495,6.0,ground_ball,0
OUT,90.4,34,5.867111297250925,341.0,fly_ball,1
OUT,88.1,-24,-3.34458505085539,6.0,ground_ball,1
OUT,63.1,-73,-16.634816864411857,1.0,ground_ball,1
OUT,93.1,-26,17.9183124350478,4.0,ground_ball,1
OUT,86.7,73,90.0,98.0,popup,0
OUT,65.0,-34,15.184832848424104,3.0,ground_ball,1
SINGLE,64.0,-68,-76.0382633555027,1.0,ground_ball,0
OUT,94.8,28,19.028368687430092,352.0,fly_ball,1
OUT,71.0,82,-39.01089029370694,30.0,popup,1
SINGLE,105.3,2,8.352938304159695,59.0,ground_ball,1
OUT,93.3,52,-33.10122566989067,289.0,fly_ball,1
SINGLE,97.0,15,5.06750567484362,270.0,line_drive,1
DOUBLE,108.0,22,-3.8440420683444168,387.0,fly_ball,1
OUT,66.2,23,-5.604145349040079,192.0,line_drive,1
OUT,76.5,35,-37.71649148113021,265.0,fly_ball,1
OUT,97.7,-8,43.48950797731831,15.0,ground_ball,1
OUT,87.7,0,-9.757963441347796,41.0,ground_ball,1
OUT,56.4,4,4.100253916206495,55.0,ground_ball,1
SINGLE,102.2,2,-23.93670252329944,73.0,ground_ball,1
DOUBLE,103.9,16,-21.83085327602617,329.0,line_drive,1
OUT,107.8,-24,31.44608836734011,5.0,ground_ball,1
SINGLE,95.3,4,-42.71441707885474,86.0,ground_ball,1
SINGLE,56.8,50,40.70395233683569,160.0,popup,1
HR,101.7,35,34.90765717440478,402.0,fly_ball,1
SINGLE,68.2,-45,-11.731143049589592,2.0,ground_ball,1
OUT,103.0,33,9.059904018281967,374.0,fly_ball,1
OUT,81.4,57,-36.56724384662743,203.0,fly_ball,1
SINGLE,99.4,0,-23.797787428163108,51.0,ground_ball,1
SINGLE,77.9,20,-9.506190809717223,225.0,line_drive,1
OUT,103.3,-13,-19.989251061039187,7.0,ground_ball,1
OUT,74.8,72,-49.87579296358613,108.0,popup,0
OUT,30.0,-13,-41.174188235963335,8.0,ground_ball,1
SINGLE,85.3,21,32.46041244503164,245.0,line_drive,1
OUT,100.6,-10,-44.46635448765053,14.0,ground_ball,1
OUT,86.0,43,12.203045537482408,281.0,fly_ball,1
OUT,83.7,55,43.3420774299584,212.0,fly_ball,1
OUT,82.7,-47,-14.684876537749822,2.0,ground_ball,1
OUT,82.2,-21,32.451758386440154,8.0,ground_ball,1
SINGLE,99.0,-13,-3.4128862183339685,7.0,ground_ball,1
OUT,71.2,-8,-31.342549162458585,14.0,ground_ball,1
OUT,55.6,-4,-31.403430011901275,20.0,ground_ball,1
OUT,90.8,-18,-4.323345136036074,8.0,ground_ball,1
OUT,70.6,-6,38.35618231906382,14.0,ground_ball,1
OUT,96.4,34,6.422723675878805,364.0,fly_ball,1
DOUBLE,103.0,20,-8.146566200322846,379.0,line_drive,1
OUT,100.1,-36,50.276863774082656,4.0,ground_ball,0
SINGLE,109.7,-28,-47.84929884044104,4.0,ground_ball,0
SINGLE,71.9,35,-9.031264915175653,239.0,fly_ball,1
OUT,96.2,-28,25.32753104201482,3.0,ground_ball,1
DOUBLE,96.4,15,-46.29894132113088,221.0,line_drive,0
OUT,95.1,36,-7.462245120558214,351.0,fly_ball,1
OUT,87.5,23,37.374894666119886,292.0,line_drive,1
OUT,89.4,21,2.9040155038458213,316.0,line_drive,1
OUT,84.0,33,-14.608347198036974,307.0,fly_ball,1
OUT,87.9,46,33.536194981750704,280.0,fly_ball,1
OUT,102.4,-13,-11.277727873287946,8.0,ground_ball,1
OUT,76.9,53,9.953188101844178,206.0,popup,1
OUT,98.8,54,4.931970608128071,269.0,fly_ball,1
OUT,85.4,28,2.948290568251938,309.0,fly_ball,1
SINGLE,106.7,13,-21.47463445887808,223.0,line_drive,1
OUT,70.2,74,-30.75554376227576,69.0,popup,1
OUT,62.8,-31,11.297413367261008,3.0,ground_ball,1
OUT,86.2,-18,-2.812984598582104,4.0,ground_ball,1
SINGLE,93.4,3,-22.349692944352448,76.0,ground_ball,1
DOUBLE,86.9,22,47.18436303178702,272.0,line_drive,0
SINGLE,100.1,12,24.56852520840052,250.0,line_drive,1
SINGLE,106.1,-2,18.97905341890699,28.0,ground_ball,1
OUT,99.3,-19,20.71739164436055,8.0,ground_ball,1
OUT,59.5,52,-52.141961316788,158.0,popup,0
HR,100.1,26,-17.360292020601143,393.0,fly_ball,1
OUT,94.9,51,8.452577103993931,253.0,fly_ball,1
OUT,93.9,36,15.04983924724063,343.0,fly_ball,1
OUT,96.9,-9,21.08399320791093,13.0,ground_ball,1
OUT,75.0,58,-13.230587819163082,179.0,popup,1
OUT,91.4,28,10.549300769651945,330.0,fly_ball,1
SINGLE,105.5,11,39.068787805778975,251.0,line_drive,1
OUT,67.8,-47,-25.383357810048444,2.0,ground_ball,1
SINGLE,108.2,9,-19.64344832918986,217.0,line_drive,1
OUT,86.3,2,-17.341351538602012,53.0,ground_ball,1
OUT,77.5,-35,33.551538348348735,2.0,ground_ball,1
OUT,81.3,-21,-32.85650696392183,5.0,ground_ball,1
OUT,100.9,28,4.143260210173116,392.0,fly_ball,1
OUT,89.0,69,29.380028327719845,125.0,popup,1
OUT,91.0,49,25.552339550432198,252.0,fly_ball,1
DOUBLE,95.5,21,20.80577927519573,339.0,line_drive,1
DOUBLE,97.8,17,-43.63701275312097,262.0,line_drive,1
OUT,87.2,-22,11.0894371702752,4.0,ground_ball,1
OUT,102.5,17,7.341660705906894,321.0,line_drive,1
SINGLE,96.2,-10,13.95447103724758,13.0,ground_ball,1
DOUBLE,106.9,15,-47.96300275706728,248.0,line_drive,0
OUT,86.4,-29,46.99448116988797,4.0,ground_ball,0
OUT,101.1,22,-4.06843356189499,367.0,line_drive,1
DOUBLE,102.9,20,-19.75176503124034,341.0,line_drive,1
SINGLE,81.9,17,15.3606356731113,228.0,line_drive,1
