result_label,launch_speed,launch_angle,spray_angle,hit_distance_sc,bb_type,events,park_id,home_team,game_pk,hc_x,hc_y,game_date,label
HR,109.3,25,-43.82933206109673,426,fly_ball,home_run,15,AZ,747210,5.58,73.43,2024-04-30,4
OUT,65.5,70,42.835612505031094,87,popup,field_out,15,AZ,747210,148.97,172.87,2024-04-30,0
OUT,90.1,25,-24.51090747552088,331,fly_ball,sac_fly,15,AZ,747210,75.47,88.72,2024-04-30,0
OUT,84.5,-16,22.35769712662269,11,ground_ball,force_out,15,AZ,747210,147.61,144.32,2024-04-30,0
OUT,90.7,47,42.39999648722393,284,fly_ball,field_out,15,AZ,747210,202.99,113.32,2024-04-30,0
OUT,92.8,3,-16.406515653667352,68,ground_ball,field_out,15,AZ,747210,111.97,152.59,2024-04-30,0
OUT,94.7,17,-23.029187572115312,278,line_drive,field_out,15,AZ,747210,82.16,96.5,2024-04-30,0
OUT,90.3,-7,36.60880694671619,20,ground_ball,field_out,15,AZ,747210,157.09,155.64,2024-04-30,0
OUT,77.9,14,27.79032424362853,149,line_drive,field_out,15,AZ,747210,152.43,147.02,2024-04-30,0
OUT,93.2,-30,11.810940267856354,4,ground_ball,field_out,15,AZ,747210,135.29,151.07,2024-04-30,0
OUT,91.4,-22,-17.510772737858755,7,ground_ball,field_out,15,AZ,747210,111.97,155.64,2024-04-30,0
DOUBLE,102.2,21,45.41287164357941,337,line_drive,double,15,AZ,747210,223.26,101.83,2024-04-30,2
SINGLE,103.4,8,31.578125552948684,159,line_drive,single,15,AZ,747210,184.97,101.39,2024-04-30,1
OUT,64.6,-23,-7.742674658077712,4,ground_ball,field_out,15,AZ,747210,120.01,158.48,2024-04-30,0
DOUBLE,107.6,13,-16.484069053134768,260,line_drive,double,15,AZ,747210,88.15,72.32,2024-04-30,2
OUT,99.3,25,14.587641662117843,369,fly_ball,field_out,15,AZ,747210,162.87,54.37,2024-04-30,0
OUT,96.3,-15,24.917350142601034,6,ground_ball,grounded_into_double_play,15,AZ,747210,145.93,154.12,2024-04-30,0
OUT,86.9,25,-21.215067161494172,314,line_drive,field_out,15,AZ,747210,79.98,81.21,2024-04-30,0
OUT,66.0,-21,-50.29008120537127,3,ground_ball,field_out,15,AZ,747210,95.92,173.77,2024-04-30,0
SINGLE,78.9,-14,43.019319026624366,10,ground_ball,single,15,AZ,747210,165.2,155.64,2024-04-30,1
OUT,93.7,38,2.8546631470561494,340,fly_ball,field_out,15,AZ,747210,132.23,61.7,2024-04-30,0
OUT,68.3,-51,46.688252188133696,3,ground_ball,field_out,15,AZ,747210,152.14,173.08,2024-04-30,0
OUT,93.8,-29,50.01189875451615,4,ground_ball,field_out,15,AZ,747210,161.14,168.31,2024-04-30,0
SINGLE,95.6,19,9.090935421095395,296,line_drive,single,15,AZ,747210,147.14,62.53,2024-04-30,1
