result_label,launch_speed,launch_angle,spray_angle,hit_distance_sc,bb_type,events,park_id,home_team,game_pk,hc_x,hc_y,game_date,label
OUT,105.2,20,-8.393430589368931,366,line_drive,field_out,2602,CIN,778134,103.95,52.76,2025-04-30,0
OUT,77.3,-12,23.399936915628995,11,ground_ball,field_out,2602,CIN,778134,145.75,151.29,2025-04-30,0
OUT,67.1,8,21.759597930032818,83,ground_ball,field_out,2602,CIN,778134,145.23,148.64,2025-04-30,0
HR,107.1,20,-34.406443377848774,388,line_drive,home_run,2602,CIN,778134,37.05,69.24,2025-04-30,4
HR,104.8,25,20.524639577829547,392,fly_ball,home_run,2602,CIN,778134,180.82,50.29,2025-04-30,4
HR,100.9,29,17.12567565967722,396,fly_ball,home_run,2602,CIN,778134,172.45,45.64,2025-04-30,4
SINGLE,82.2,16,-24.019802893846084,219,line_drive,single,2602,CIN,778134,83.69,104.63,2025-04-30,1
OUT,95.8,24,40.106997618349546,307,fly_ball,field_out,2602,CIN,778134,203.5,105.57,2025-04-30,0
OUT,89.6,66,18.806497401380096,104,popup,field_out,2602,CIN,778134,136.11,166.88,2025-04-30,0
OUT,89.2,-3,-15.1562163019035,23,ground_ball,field_out,2602,CIN,778134,112.8,151.68,2025-04-30,0
OUT,93.8,30,0.6454438659776421,350,fly_ball,field_out,2602,CIN,778134,127.0,58.02,2025-04-30,0
OUT,97.4,-14,-10.165392482462838,6,ground_ball,field_out,2602,CIN,778134,116.34,147.63,2025-04-30,0
OUT,93.5,-19,26.630394173020445,8,ground_ball,field_out,2602,CIN,778134,148.27,152.7,2025-04-30,0
OUT,95.0,-18,-34.31672187901458,7,ground_ball,grounded_into_double_play,2602,CIN,778134,104.69,167.9,2025-04-30,0
OUT,72.3,3,14.491296329984745,53,ground_ball,field_out,2602,CIN,778134,138.64,147.12,2025-04-30,0
SINGLE,92.6,16,-2.933288119514179,291,line_drive,single,2602,CIN,778134,118.81,69.27,2025-04-30,1
OUT,94.2,5,24.07152476227942,94,ground_ball,field_out,2602,CIN,778134,148.27,147.12,2025-04-30,0
OUT,99.2,38,11.744244612730462,348,fly_ball,field_out,2602,CIN,778134,153.91,61.23,2025-04-30,0
OUT,100.0,-3,-2.073055480598793,29,ground_ball,fielders_choice,2602,CIN,778134,123.44,143.57,2025-04-30,0
OUT,85.7,33,-1.7641076688399493,320,fly_ball,field_out,2602,CIN,778134,121.47,70.02,2025-04-30,0
SINGLE,102.9,8,16.856059181474713,165,line_drive,single,2602,CIN,778134,160.43,82.72,2025-04-30,1
OUT,102.3,-3,9.783489398066449,30,ground_ball,field_out,2602,CIN,778134,134.59,145.09,2025-04-30,0
OUT,94.3,23,9.190809142522163,346,line_drive,field_out,2602,CIN,778134,147.64,60.94,2025-04-30,0
OUT,96.2,-7,37.368835423480206,19,ground_ball,field_out,2602,CIN,778134,157.9,155.74,2025-04-30,0
SINGLE,100.6,2,-6.44447861231533,62,ground_ball,single,2602,CIN,778134,114.32,100.0,2025-04-30,1
OUT,99.0,27,-5.6418111939824565,360,fly_ball,field_out,2602,CIN,778134,111.16,53.92,2025-04-30,0
OUT,107.1,20,7.471559176592373,386,line_drive,field_out,2602,CIN,778134,145.66,43.94,2025-04-30,0
