result_label,launch_speed,launch_angle,spray_angle,hit_distance_sc,bb_type,events,park_id,home_team,game_pk,hc_x,hc_y,game_date,label
OUT,89.9,47,19.447945331993527,262,fly_ball,field_out,22,LAD,717954,160.2,99.77,2023-05-31,0
OUT,96.4,22,30.595847272962583,328,line_drive,field_out,22,LAD,717954,192.71,84.47,2023-05-31,0
OUT,78.7,-42,-43.74371497104365,3,ground_ball,field_out,22,LAD,717954,100.89,172.64,2023-05-31,0
OUT,97.8,4,28.66024611555159,97,ground_ball,field_out,22,LAD,717954,151.41,150.72,2023-05-31,0
HR,102.5,23,9.05230291326886,401,fly_ball,home_run,22,LAD,717954,150.83,38.78,2023-05-31,4
OUT,97.9,30,-28.1371580278301,355,fly_ball,field_out,22,LAD,717954,58.08,72.35,2023-05-31,0
DOUBLE,100.1,-4,42.744736858011834,31,ground_ball,double,22,LAD,717954,182.01,137.04,2023-05-31,2
OUT,96.4,21,-3.4753446152715846,311,line_drive,field_out,22,LAD,717954,117.89,74.28,2023-05-31,0
SINGLE,80.4,14,-26.454786341635025,170,line_drive,single,22,LAD,717954,81.94,110.89,2023-05-31,1
HR,104.8,25,-2.3515460719606334,412,fly_ball,home_run,22,LAD,717954,118.62,32.68,2023-05-31,4
OUT,75.0,-33,-37.08818331299157,4,ground_ball,field_out,22,LAD,717954,102.31,167.7,2023-05-31,0
HR,99.1,30,43.531718344350146,370,fly_ball,home_run,22,LAD,717954,235.66,82.23,2023-05-31,4
OUT,58.9,-20,16.098971016064954,7,ground_ball,fielders_choice,22,LAD,717954,130.82,179.56,2023-05-31,0
SINGLE,78.7,8,-6.596011076063068,133,ground_ball,single,22,LAD,717954,113.8,97.78,2023-05-31,1
OUT,99.5,26,28.469533126387738,357,fly_ball,field_out,22,LAD,717954,194.25,71.34,2023-05-31,0
DOUBLE,103.4,16,20.603546116546447,360,line_drive,double,22,LAD,717954,176.59,62.16,2023-05-31,2
OUT,84.8,61,-19.01259575607126,174,popup,field_out,22,LAD,717954,101.1,127.69,2023-05-31,0
DOUBLE,95.2,19,-10.689245356049364,326,line_drive,double,22,LAD,717954,98.59,56.13,2023-05-31,2
OUT,76.4,-21,9.114498855802864,6,ground_ball,field_out,22,LAD,717954,128.38,179.82,2023-05-31,0
OUT,66.3,66,21.327880388447912,113,popup,field_out,22,LAD,717954,140.62,159.34,2023-05-31,0
SINGLE,102.8,14,-23.003236570789554,269,line_drive,single,22,LAD,717954,76.81,83.77,2023-05-31,1
OUT,92.5,40,37.67443491685598,304,fly_ball,field_out,22,LAD,717954,200.46,101.09,2023-05-31,0
OUT,95.8,45,-14.770644190840668,297,fly_ball,field_out,22,LAD,717954,95.22,83.73,2023-05-31,0
DOUBLE,93.3,20,-11.21463845907678,319,line_drive,double,22,LAD,717954,98.13,60.63,2023-05-31,2
OUT,100.9,20,-18.499754566693394,361,line_drive,field_out,22,LAD,717954,79.29,60.4,2023-05-31,0
OUT,86.3,-4,46.5888186301442,33,ground_ball,field_out,22,LAD,717954,164.14,161.64,2023-05-31,0
HR,102.9,27,6.550642903679402,405,fly_ball,home_run,22,LAD,717954,144.01,36.38,2023-05-31,4
OUT,92.9,11,18.934496951695227,170,line_drive,field_out,22,LAD,717954,146.84,135.83,2023-05-31,0
DOUBLE,97.6,-3,-48.997705606892865,32,ground_ball,double,22,LAD,717954,81.56,160.14,2023-05-31,2
OUT,72.1,-23,-38.50404511457931,7,ground_ball,field_out,22,LAD,717954,101.1,167.7,2023-05-31,0
OUT,90.6,-2,37.6913439609784,25,ground_ball,grounded_into_double_play,22,LAD,717954,147.17,170.12,2023-05-31,0
OUT,93.9,45,28.907088385469198,300,fly_ball,field_out,22,LAD,717954,184.14,91.93,2023-05-31,0
SINGLE,110.1,14,-34.31137911982318,239,line_drive,single,22,LAD,717954,54.63,94.54,2023-05-31,1
OUT,60.7,51,37.265123843867336,159,popup,field_out,22,LAD,717954,162.99,148.89,2023-05-31,0
OUT,102.2,5,-5.257189421240057,113,ground_ball,field_out,22,LAD,717954,119.21,130.78,2023-05-31,0
OUT,67.3,-66,42.80209359874718,1,ground_ball,field_out,22,LAD,717954,134.44,188.53,2023-05-31,0
OUT,87.8,-11,-16.75742412030072,10,ground_ball,force_out,22,LAD,717954,110.19,147.69,2023-05-31,0
OUT,70.8,75,77.66487734737113,97,popup,field_out,22,LAD,717954,159.9,190.73,2023-05-31,0
SINGLE,101.0,9,34.19600839816213,209,line_drive,single,22,LAD,717954,176.26,123.45,2023-05-31,1
